# net         layer  x1       y1       x2       y2       width

VDD          M1    34.923   0.773    15.593   0.773    0.050
VDD          M1    15.593   13.402   15.593   0.773    0.050
GND          M1    7.732    13.660   1.160    13.660   0.050
8            M1    34.923   7.474    34.923   13.660   0.050
8            M1    34.923   13.660   7.861    13.660   0.050
8            M1    6.186    0.773    6.186    0.644    0.050
8            M1    6.186    0.644    11.598   0.644    0.050
8            M1    11.598   0.644    11.598   13.660   0.050
9            M2    22.036   7.474    1.160    7.474    0.050
9            M2    1.160    7.474    1.160    13.660   0.050
12           M1    6.186    7.088    6.186    13.402   0.050
12           M2    6.186    13.402   15.593   13.402   0.050
